date,revenue,age_groups,180dayma,30dayma,7dayma,Prev30
2019-07-19,24033.0000,all,24854.15722222,27426.96666667,27397.42857143,27066.25000000
2019-07-20,23214.0000,all,24893.96277778,27217.50000000,27526.57142857,26747.25000000
2019-07-21,29299.0000,all,24943.94611111,27204.40000000,28280.42857143,26816.58333333
2019-07-22,49456.0000,all,25122.56833333,28112.06666667,31468.57142857,26680.88333333
2019-07-23,42636.0000,all,25263.17388889,28741.83333333,32903.14285714,26748.71666667
2019-07-24,32017.0000,all,25360.10166667,28745.00000000,33519.85714286,27143.51666667
2019-07-25,29056.0000,all,25383.97388889,28802.00000000,32815.85714286,27314.18333333
2019-07-26,31010.0000,all,25416.22944444,28914.60000000,33812.57142857,27315.55000000
2019-07-27,22675.0000,all,25384.48500000,28734.73333333,33735.57142857,27223.98333333
2019-07-28,31265.0000,all,25441.95166667,28658.33333333,34016.42857143,27461.95000000
2019-07-29,38633.0000,all,25506.53500000,29298.06666667,32470.28571429,27284.75000000
2019-07-30,31139.0000,all,25509.85722222,29573.80000000,30827.85714286,27301.05000000
2019-07-31,28795.0000,all,25547.62388889,29620.83333333,30367.57142857,27529.81666667
2019-08-01,28494.0000,all,25577.22944444,29574.73333333,30287.28571429,27800.05000000
2019-08-02,27762.0000,all,25616.87944444,29716.63333333,29823.28571429,27352.45000000
2019-08-03,23180.0000,all,25598.39055556,29959.16666667,29895.42857143,26635.21666667
2019-08-04,28891.0000,all,25633.82944444,30209.60000000,29556.28571429,26247.15000000
2019-08-05,44050.0000,all,25749.73500000,30917.20000000,30330.14285714,26111.18333333
2019-08-06,30164.0000,all,25799.52944444,31037.10000000,30190.85714286,26311.55000000
2019-08-07,31624.0000,all,25884.27944444,30744.50000000,30595.00000000,26906.51666667
2019-08-08,35651.5000,all,25992.13777778,30580.35000000,31617.50000000,27301.95000000
2019-08-09,26677.0000,all,26023.73222222,30471.28333333,31462.50000000,27254.25000000
2019-08-10,23029.0000,all,26018.50444444,30165.28333333,31440.92857143,27354.01666667
2019-08-11,26805.0000,all,26012.36555556,30243.48333333,31142.92857143,27381.68333333
2019-08-12,39303.0000,all,26096.66000000,30809.91666667,30464.78571429,27131.25000000
2019-08-13,36918.0000,all,26229.73222222,31239.78333333,31429.64285714,27174.75000000
2019-08-14,33282.0000,all,26306.09333333,31444.55000000,31666.50000000,27392.35000000
2019-08-15,34836.0000,all,26385.21000000,31519.28333333,31550.00000000,27877.83333333
2019-08-16,22772.0000,all,26383.67111111,31355.01666667,30992.14285714,27805.63333333
2019-08-17,34679.0000,all,26419.84333333,31378.18333333,32656.42857143,27744.13333333
2019-08-18,34744.0000,all,26463.33222222,31735.21666667,33790.57142857,27426.96666667
2019-08-19,39943.0000,all,26546.17666667,32292.85000000,33882.00000000,27217.50000000
2019-08-20,32708.0000,all,26620.39888889,32406.48333333,33280.57142857,27204.40000000
2019-08-21,32648.0000,all,26639.77111111,31846.21666667,33190.00000000,28112.06666667
2019-08-22,28164.0000,all,26710.27388889,31363.81666667,32236.85714286,28741.83333333
2019-08-23,23690.0000,all,26765.55166667,31086.25000000,32368.00000000,28745.00000000
2019-08-24,24458.0000,all,26774.26277778,30932.98333333,30907.85714286,28802.00000000
2019-08-25,29809.0000,all,26815.42388889,30892.95000000,30202.85714286,28914.60000000
2019-08-26,36515.0000,all,26893.70166667,31354.28333333,29713.14285714,28734.73333333
2019-08-27,34117.0000,all,26968.94055556,31449.35000000,29914.42857143,28658.33333333
2019-08-28,29086.0000,all,27026.90166667,31131.11666667,29405.57142857,29298.06666667
2019-08-29,27012.0000,all,27084.56277778,30993.55000000,29241.00000000,29573.80000000
2019-08-30,27114.0000,all,27130.76833333,30937.51666667,29730.14285714,29620.83333333
2019-08-31,25831.5000,all,27153.68777778,30848.76666667,29926.35714286,29574.73333333
2019-09-01,24215.0000,all,27173.41555556,30730.53333333,29127.21428571,29716.63333333
2019-09-02,32235.0000,all,27235.48777778,31032.36666667,28515.78571429,29959.16666667
2019-09-03,42151.0000,all,27349.37111111,31474.36666667,29663.50000000,30209.60000000
2019-09-04,31764.0000,all,27393.39888889,31064.83333333,30046.07142857,30917.20000000
2019-09-05,33535.0000,all,27489.14888889,31177.20000000,30977.92857143,31037.10000000
2019-09-06,27689.0000,all,27517.44166667,31046.03333333,31060.07142857,30744.50000000
2019-09-07,28408.0000,all,27529.14722222,30804.58333333,31428.14285714,30580.35000000
2019-09-08,31512.0000,all,27586.53055556,30965.75000000,32470.57142857,30471.28333333
2019-09-09,48195.0000,all,27705.78611111,31804.61666667,34750.57142857,30165.28333333
2019-09-10,37849.5000,all,27787.12222222,32172.76666667,34136.07142857,30243.48333333
2019-09-11,39562.0000,all,27879.91666667,32181.40000000,35250.07142857,30809.91666667
2019-09-12,31901.0000,all,27959.48888889,32014.16666667,35016.64285714,31239.78333333
2019-09-13,31653.0000,all,28014.95555556,31959.86666667,35582.92857143,31444.55000000
2019-09-14,26349.0000,all,28012.58888889,31676.96666667,35288.78571429,31519.28333333
2019-09-15,32887.0000,all,28019.48055556,32014.13333333,35485.21428571,31355.01666667
2019-09-16,45214.0000,all,28126.45277778,32365.30000000,35059.35714286,31378.18333333
2019-09-17,34298.0000,all,28142.27500000,32350.43333333,34552.00000000,31735.21666667
2019-09-18,32476.0000,all,28202.74166667,32101.53333333,33539.71428571,32292.85000000
2019-09-19,34512.0000,all,28288.57500000,32161.66666667,33912.71428571,32406.48333333
2019-09-20,32266.0000,all,28331.84166667,32148.93333333,34000.28571429,31846.21666667
2019-09-21,24373.0000,all,28322.51388889,32022.56666667,33718.00000000,31363.81666667
2019-09-22,32494.0000,all,28353.25277778,32316.03333333,33661.85714286,31086.25000000
2019-09-23,43256.0000,all,28473.11388889,32942.63333333,33382.14285714,30932.98333333
2019-09-24,34307.0000,all,28554.14722222,33092.56666667,33383.42857143,30892.95000000
2019-09-25,44474.0000,all,28682.76388889,33357.86666667,35097.42857143,31354.28333333
2019-09-26,35836.0000,all,28768.61388889,33415.16666667,35286.57142857,31449.35000000
2019-09-27,30968.0000,all,28817.34722222,33477.90000000,35101.14285714,31131.11666667
2019-09-28,25368.0000,all,28818.99722222,33423.10000000,35243.28571429,30993.55000000
2019-09-29,44591.0000,all,28945.35833333,34005.66666667,36971.42857143,30937.51666667
2019-09-30,63461.5000,all,29196.75555556,35260.00000000,39857.92857143,30848.76666667
2019-10-01,48008.0000,all,29361.06111111,36053.10000000,41815.21428571,30730.53333333
